param_select_k__k,param_logit__C,mean_test_score,std_test_score,rank_test_score
100,0.001,0.8995302482066908,0.020724160560660815,1
200,0.001,0.8995302482066908,0.020724160560660815,1
100,0.01,0.897276709198248,0.021018463199261685,3
200,0.01,0.897276709198248,0.021018463199261685,3
500,0.001,0.8961467656954232,0.01918208885459818,5
500,0.01,0.8904970481812988,0.023945433060812586,6
100,0.1,0.8814828921475275,0.028161993698721386,7
500,0.1,0.8803402526502888,0.025699120123188444,8
200,0.1,0.8769504221418142,0.03587252266769023,9
500,1.0,0.8532470005713197,0.022171234277312938,10
100,1.0,0.8329524535009204,0.030046379112400146,11
200,1.0,0.8216657144670856,0.020438122062911006,12
