param_select_k__k,param_logit__C,mean_test_score,std_test_score,rank_test_score
200,0.01,0.8653087158256669,0.030901535343060085,1
500,0.01,0.8653087158256669,0.030901535343060085,1
100,0.01,0.8632772905750002,0.028779693287732038,3
1000,0.01,0.8620101251176271,0.030516174621402922,4
200,0.1,0.8607960520607719,0.0362216922239993,5
100,0.1,0.8574263809093206,0.026435163665152837,6
50,0.1,0.8572443650380258,0.02641433355807786,7
50,0.01,0.8543240724297251,0.025192652504764473,8
1000,0.1,0.8533596314226541,0.03837688174814404,9
500,0.1,0.8487274176619055,0.03314211356461839,10
50,1.0,0.8415276472298323,0.01894716676905192,11
1000,1.0,0.8409489186293726,0.044972898056483517,12
1000,10.0,0.8324065205483571,0.040386220580259216,13
50,10.0,0.8315589080318956,0.019358544895143714,14
100,1.0,0.8266983863454934,0.02889855899863884,15
50,100.0,0.8265550247755815,0.021589064898694943,16
1000,100.0,0.8204557750915141,0.0362614082320115,17
500,1.0,0.8162425712354751,0.026754640167476935,18
500,10.0,0.8035005632234073,0.021430330355512273,19
500,100.0,0.8004908066708465,0.021488387417728093,20
200,1.0,0.7931478114734702,0.04403335303382391,21
100,10.0,0.7658598247492037,0.03645435189998522,22
100,100.0,0.7435986791609343,0.03740554258239402,23
200,10.0,0.7346006943137575,0.026854052613682483,24
200,100.0,0.7255300507038072,0.03275761492224153,25
